Câu,Ngôn ngữ
Người đàn ông ngủ cơm dưới biển chiều qua.,vi
Người đàn ông viết chiếc mũ trên núi hằng ngày.,vi
Mẹ tôi ngủ sách trong nhà sáng nay.,vi
Thầy giáo ngủ báo ngoài vườn sáng nay.,vi
Bố tôi ăn quả táo trong rừng thỉnh thoảng.,vi
Mẹ tôi mua truyện ở trường chiều qua.,vi
Người bạn viết sách trong công viên đôi khi.,vi
Người bạn ăn cơm trong rừng thỉnh thoảng.,vi
Anh trai chơi truyện bên sông ngày mai.,vi
Người bạn bán cái bút bên sông hôm nay.,vi
Mẹ tôi xem bánh mì ở siêu thị mỗi tuần.,vi
Bố tôi học truyện dưới biển luôn luôn.,vi
Con mèo xem bánh mì ngoài vườn đôi khi.,vi
Đứa bé ăn quả táo trên đường hằng ngày.,vi
Thầy giáo chơi quả táo trong công viên luôn luôn.,vi
Người đàn ông ăn quả táo ở trường tối nay.,vi
Người bạn mua truyện trên đường hôm nay.,vi
Thầy giáo uống sách ngoài vườn thỉnh thoảng.,vi
Thầy giáo mua điện thoại ở siêu thị đôi khi.,vi
Bố tôi bán cái bút trong rừng sáng nay.,vi
Mẹ tôi mua quả táo bên sông ngày mai.,vi
Đứa bé viết điện thoại ở trường luôn luôn.,vi
Cô gái chơi điện thoại trên đường tối nay.,vi
Bố tôi mua báo bên sông sáng nay.,vi
Thầy giáo học quả táo trên núi chiều qua.,vi
Thầy giáo học cái bút ngoài vườn chiều qua.,vi
Mẹ tôi uống chiếc mũ ngoài vườn ngày mai.,vi
Anh trai xem truyện trong nhà tối nay.,vi
Anh trai ăn điện thoại ở siêu thị mỗi tuần.,vi
Cô gái ngủ quả táo trên núi luôn luôn.,vi
Chiếc xe bán truyện dưới biển đôi khi.,vi
Anh trai đọc bánh mì bên sông luôn luôn.,vi
Bố tôi học cơm dưới biển ngày mai.,vi
Người đàn ông chơi cái bút trong nhà ngày mai.,vi
Anh trai mua quả táo trong công viên mỗi tuần.,vi
Đứa bé chơi quả táo trên đường hôm nay.,vi
Bố tôi xem sách trong công viên chiều qua.,vi
